text,sentiment,sentiment_label
ресторане,neutral,0.0
ресторанах,neutral,0.0
ресторане,neutral,0.0
ресторан,neutral,0.0
ресторане,neutral,0.0
ресторан,positive,1.0
Руководству,positive,1.0
ресторане,neutral,0.0
руководству ресторана,positive,1.0
ресторана,positive,1.0
заведение,neutral,0.0
ресторане,neutral,0.0
заведения,neutral,0.0
место,positive,1.0
"ресторана ""Крапива""",neutral,0.0
рестораном,positive,1.0
ресторан,positive,1.0
заведение,positive,1.0
"""Крапивы""",positive,1.0
кафе,neutral,0.0
место,positive,1.0
заведении,neutral,0.0
ресторанах,positive,1.0
ресторан,negative,-1.0
пабе,positive,1.0
место,positive,1.0
пабе,neutral,0.0
заведений,neutral,0.0
ресторан,positive,1.0
ресторанчик,positive,1.0
"""Квартиру №55""",positive,1.0
ресторане,neutral,0.0
квартиру,positive,1.0
ресторана,positive,1.0
Суп-вино,neutral,0.0
ресторанах,neutral,0.0
заведение,neutral,0.0
заведение,positive,1.0
заведении,negative,-1.0
заведением,positive,1.0
места,neutral,0.0
рестораны,neutral,0.0
ресторан,neutral,0.0
ресторанах,neutral,0.0
заведению,neutral,0.0
придем еще,positive,1.0
ресторанах,neutral,0.0
ресторан,neutral,0.0
заведении,neutral,0.0
Заведение,positive,1.0
заведении,negative,-1.0
больше не пойду,negative,-1.0
места,positive,1.0
заведение,positive,1.0
Макарену,positive,1.0
вечер,positive,1.0
Ресторан,neutral,0.0
заведении,positive,1.0
заведениях,negative,-1.0
кафе,positive,1.0
кафе,positive,1.0
прийти еще не раз,positive,1.0
место,positive,1.0
ресторане,neutral,0.0
остались очень довольны,positive,1.0
ресторанчик,neutral,0.0
заведения,positive,1.0
сетевых заведений японской кухни,negative,-1.0
ресторанов,neutral,0.0
ресторане,neutral,0.0
провели время,positive,1.0
заведении,neutral,0.0
кафе,neutral,0.0
ресторана,neutral,0.0
Больше не пойдем,negative,-1.0
ресторан,neutral,0.0
ресторане,neutral,0.0
ресторан,neutral,0.0
местах,neutral,0.0
ресторана,neutral,0.0
"ресторане ""На горке""",neutral,0.0
ресторан,positive,1.0
